template,parameter,value,count,sharpe_mean,sharpe_median,pf_mean,wr_mean
MomentumBurst,T,1.2,11,0.3069921854634625,0.306954897596373,1.054169005769942,48.77111672407526
MomentumBurst,T,1.5,11,0.3560294918974837,0.3621002529797922,1.063008083963061,48.888671224624275
MomentumBurst,T,2.0,55,-0.11712183315341072,-0.1549403783293366,0.9804820379718806,47.43798305273517
SessionBreakout,T,0.5,11,-0.8482281423188968,-0.899702100950977,0.8875989283517387,26.593361762203976
SessionBreakout,T,0.8,11,-0.8482281423188968,-0.899702100950977,0.8875989283517387,26.593361762203976
TrendFollower,T,3.0,11,-0.039658059584459365,-0.0179333153727067,0.9931348773488207,36.503331400291664
BreakoutTrader,TP,20,3,-3.2296127686290164,-0.7339846125522506,0.707491510285994,29.819050302451256
BreakoutTrader,TP,30,9,-3.216059624653882,-0.55500688678644,0.7202431019409721,30.23913867533887
BreakoutTrader,TP,40,9,-3.7420771946660785,-0.5625855804409979,0.7195538637596344,29.31874610973707
BreakoutTrader,TP,50,12,-2.8613202340972985,-0.5316206205329151,0.7398460820840372,30.0635114244174
MeanReverterV2,TP,20,41,-0.2619137630197104,-0.4158001476936028,0.9573716973504194,43.33577912483022
MeanReverterV2,TP,30,123,-0.12760443944576047,-0.255462604537532,0.9766595151673118,42.5234255833573
MeanReverterV2,TP,40,123,-0.07082901472808255,-0.2338757721766411,0.9863457378595831,37.45277073102672
MeanReverterV2,TP,50,164,-0.11201707400193785,-0.2200981393560248,0.9786629091207053,36.76078951636049
MeanReverter,TP,20,3,-0.7296819176954958,-1.1029454126719385,0.8845441182459425,41.18538167409639
MeanReverter,TP,30,9,-0.21120259710576292,-1.0221427498335591,0.9649026089533894,42.574502553124994
MeanReverter,TP,40,9,-0.08974608724498147,-1.0205771974651947,0.9941027301614187,41.0715041445436
MeanReverter,TP,50,12,0.23589719675803264,-1.0041727150441901,1.0673622852942242,41.96806555902401
MomentumBurst,TP,20,18,0.054298328701234105,0.0220326713273993,1.0097491769736366,46.4995617554974
MomentumBurst,TP,30,54,0.06535276430060036,0.0704030523253932,1.011810782497253,46.711729545501726
MomentumBurst,TP,40,54,0.07835819746325161,0.1076397955621746,1.0141261310007934,46.70835825147497
MomentumBurst,TP,50,72,0.07940781296352467,0.1205607129963578,1.0144059605006293,46.74040484331534
SessionBreakout,TP,20,2,-0.9172800752185074,-0.9172800752185074,0.8846887542539721,30.70032573289902
SessionBreakout,TP,30,6,-0.8088102636074274,-0.7217462430418309,0.8962128426209884,30.4761770638666
SessionBreakout,TP,40,6,-0.899199389389517,-0.990141176629642,0.8807763935535536,24.43703133435926
SessionBreakout,TP,50,8,-0.8223001328246309,-0.8371340055009006,0.8869829372728822,24.271757114166785
TrendFollower,TP,20,1,-0.0968455473073342,-0.0968455473073342,0.9834708525390676,36.478117258464074
TrendFollower,TP,30,3,-0.039568491564289834,-0.0194199355301847,0.9931575751604789,36.51530810183949
TrendFollower,TP,40,3,-0.0352376977510593,-0.0152132666647183,0.9938746220743141,36.501551892928035
TrendFollower,TP,50,4,-0.028743635043917852,-0.015115454876464849,0.9949790516483954,36.501987040110414
MeanReverterV2,V,2,451,-0.11866203832263554,-0.2455201770665997,0.9782762811739932,39.11886601212948
