base_strategy,strategy_name,lot_size,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown,win_rate,n_trades,profit_factor,avg_win,avg_loss,expectancy,gross_pnl,net_pnl,total_commission,template,params
MeanReverterV2_T2.0_SL15_TP30_RSI30-75,MeanReverterV2_L20_T2.0_SL15_TP30_RSI30-75,0.01,-0.0450771137772133,-0.0663673046856102,-0.2970207586458039,-0.0025911000000009,0.0087236326909082,0.5324094377686168,11401,0.9913520488111418,0.4893393739703462,-0.5620335771900226,-0.0022726953775991,-14.510000000008484,-25.91100000000849,11.401000000000003,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 15, 'TP': 30, 'RSI': '30-75'}"
MeanReverterV2_T2.0_SL15_TP30_RSI35-80,MeanReverterV2_L30_T2.0_SL15_TP30_RSI35-80,0.01,0.7506296795309618,13.380077592999134,3.861848820357947,0.0156130999999993,0.0040429081319015,0.3560753736192332,1539,1.1058069788922764,2.9776496350364963,-1.4890221997981838,0.1014496426250809,157.67000000000013,156.13100000000014,1.5390000000000006,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 15, 'TP': 30, 'RSI': '35-80'}"
MeanReverterV2_T2.0_SL15_TP40,MeanReverterV2_L20_T2.0_SL15_TP40,0.01,-0.0295333211681068,-0.0505716408532025,-0.1763240700853192,-0.001121700000002,0.0063615818274798,0.5171628436635757,6147,0.9947965568301068,0.6745740798993373,-0.7263099730458268,-0.0018247925817506,-5.070000000020585,-11.217000000020589,6.147000000000002,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 15, 'TP': 40}"
MeanReverterV2_T2.0_SL15_TP40_RSI20-65,MeanReverterV2_L15_T2.0_SL15_TP40_RSI20-65,0.01,-0.5579341167808272,-0.6873009183257143,-0.9607737413973708,-0.0522053000000019,0.0543367264847116,0.5443230010688549,29003,0.8897963465920289,0.266998986507885,-0.3584417372881361,-0.017999965520809,-493.0500000000262,-522.0530000000263,29.00300000000001,MeanReverterV2,"{'V': 2, 'L': 15, 'T': 2.0, 'SL': 15, 'TP': 40, 'RSI': '20-65'}"
MeanReverterV2_T2.0_SL15_TP40_RSI25-70,MeanReverterV2_L30_T2.0_SL15_TP40_RSI25-70,0.01,-0.3454702072900468,-4.56878453859247,-0.2021713118518181,-0.0012245,0.0060567445934049,0.2638297872340425,235,0.951879055108208,3.906741935483871,-1.4708843930635842,-0.0521063829787238,-12.010000000000066,-12.245000000000063,0.2350000000000001,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 15, 'TP': 40, 'RSI': '25-70'}"
MeanReverterV2_T2.0_SL15_TP40_RSI30-75,MeanReverterV2_L20_T2.0_SL15_TP40_RSI30-75,0.01,-0.0292896658952487,-0.0442580443296566,-0.1982040594986626,-0.0016981000000008,0.0085674329995866,0.5318960163250821,11271,0.9942116002516992,0.4865129274395331,-0.5560322213798351,-0.0015066098837732,-5.71000000000835,-16.98100000000835,11.271000000000004,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 15, 'TP': 40, 'RSI': '30-75'}"
MeanReverterV2_T2.0_SL15_TP40_RSI35-80,MeanReverterV2_L30_T2.0_SL15_TP40_RSI35-80,0.01,0.792139175545665,16.57381477526568,3.6839172878530646,0.0143347999999996,0.0038911839978779,0.2977430555555556,1152,1.1189768923482728,3.930574344023325,-1.489294190358467,0.1244340277777784,144.50000000000023,143.34800000000024,1.152,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 15, 'TP': 40, 'RSI': '35-80'}"
MeanReverterV2_T2.0_SL15_TP50,MeanReverterV2_L20_T2.0_SL15_TP50,0.01,-0.0226636959118558,-0.0392970195263396,-0.1372659437459815,-0.0008685000000021,0.0063271338563725,0.5165714285714286,6125,0.9959626452878142,0.6771415929203518,-0.7264981425194238,-0.0014179591836768,-2.5600000000203806,-8.685000000020382,6.125000000000002,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 15, 'TP': 50}"
MeanReverterV2_T2.0_SL15_TP50_RSI20-65,MeanReverterV2_L15_T2.0_SL15_TP50_RSI20-65,0.01,-0.5464944404884925,-0.6787538163074749,-0.9595778352300748,-0.0513716000000014,0.0535356258908213,0.5443125345113197,28976,0.8911965339857757,0.2667884859244219,-0.3575813389881859,-0.0177290171176154,-484.7400000000254,-513.7160000000255,28.976000000000013,MeanReverterV2,"{'V': 2, 'L': 15, 'T': 2.0, 'SL': 15, 'TP': 50, 'RSI': '20-65'}"
MeanReverterV2_T2.0_SL15_TP50_RSI25-70,MeanReverterV2_L30_T2.0_SL15_TP50_RSI25-70,0.01,-0.3468094448340479,-5.0174129628690425,-0.2605785252530337,-0.0013065,0.0050138437107638,0.2266666666666666,225,0.9488617682516324,4.753313725490199,-1.4682988505747134,-0.0580666666666664,-12.839999999999952,-13.064999999999952,0.2250000000000001,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 15, 'TP': 50, 'RSI': '25-70'}"
MeanReverterV2_T2.0_SL15_TP50_RSI30-75,MeanReverterV2_L20_T2.0_SL15_TP50_RSI30-75,0.01,-0.0205214953671464,-0.0313726718276873,-0.141388767053857,-0.0011896000000007,0.008413681120422,0.5321543408360129,11196,0.9958798992002212,0.4826136287344748,-0.5512233676975963,-0.001062522329404,-0.700000000007865,-11.896000000007868,11.196000000000002,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 15, 'TP': 50, 'RSI': '30-75'}"
MeanReverterV2_T2.0_SL15_TP50_RSI35-80,MeanReverterV2_L30_T2.0_SL15_TP50_RSI35-80,1.0,0.9841899823603968,21.270388512728488,8.662632814114442,1.5942800000000017,0.1840410455124411,0.2609649122807017,912,1.1590773934248917,488.0806722689076,-148.69495548961424,17.481140350877197,16034.000000000013,15942.800000000012,91.20000000000002,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 15, 'TP': 50, 'RSI': '35-80'}"
MeanReverterV2_T2.0_SL20_TP30,MeanReverterV2_L20_T2.0_SL20_TP30,0.01,-0.0043955590333412,-0.0064623852938985,-0.032356818032725,-0.0001695000000023,0.0052384631835833,0.5252710592160134,5995,0.9992153453452508,0.6854528421721148,-0.7590252986647974,-0.0002827356130148,4.299999999975952,-1.6950000000240495,5.995000000000002,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 20, 'TP': 30}"
MeanReverterV2_T2.0_SL20_TP30_RSI20-65,MeanReverterV2_L15_T2.0_SL20_TP30_RSI20-65,0.01,-0.6029411710424403,-0.6870014064010678,-0.9670271399598632,-0.0563968000000048,0.058319769600619,0.5464318229567897,28558,0.8791335613495153,0.262869272669015,-0.360228750096503,-0.0197481616359697,-535.4100000000262,-563.9680000000262,28.55800000000001,MeanReverterV2,"{'V': 2, 'L': 15, 'T': 2.0, 'SL': 20, 'TP': 30, 'RSI': '20-65'}"
MeanReverterV2_T2.0_SL20_TP30_RSI25-70,MeanReverterV2_L30_T2.0_SL20_TP30_RSI25-70,0.01,-0.238593643534631,-2.1984694969699814,-0.1342922294812674,-0.0008320999999999,0.0061961887386497,0.3939393939393939,231,0.9694417921410204,2.9008681318681324,-1.9450000000000012,-0.0360216450216457,-8.090000000000146,-8.321000000000145,0.2310000000000001,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 20, 'TP': 30, 'RSI': '25-70'}"
MeanReverterV2_T2.0_SL20_TP30_RSI30-75,MeanReverterV2_L20_T2.0_SL20_TP30_RSI30-75,0.01,-0.04166016763223,-0.0546305300972194,-0.2628926198104728,-0.0023635000000007,0.0089903626876428,0.5376884422110553,10945,0.9917035825359248,0.4800654205607477,-0.5630079051383414,-0.0021594335312934,-12.690000000007174,-23.63500000000717,10.945000000000002,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 20, 'TP': 30, 'RSI': '30-75'}"
MeanReverterV2_T2.0_SL20_TP30_RSI35-80,MeanReverterV2_L30_T2.0_SL20_TP30_RSI35-80,0.01,0.8165031032597854,10.544353092561272,4.155896546010752,0.0147542999999996,0.0035502086822065,0.4250214224507284,1167,1.111104919496883,2.974806451612904,-1.979077496274218,0.1264293059125967,148.7100000000001,147.5430000000001,1.1670000000000005,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 20, 'TP': 30, 'RSI': '35-80'}"
MeanReverterV2_T2.0_SL20_TP40,MeanReverterV2_L20_T2.0_SL20_TP40,0.01,-0.0034422504513801,-0.0051488730325361,-0.0245499604548701,-0.0001339000000025,0.0054541839384502,0.5246259875609346,5949,0.9993742780130804,0.6852255687279686,-0.7566930693069358,-0.0002250798453563,4.609999999975365,-1.3390000000246367,5.949000000000002,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 20, 'TP': 40}"
MeanReverterV2_T2.0_SL20_TP40_RSI20-65,MeanReverterV2_L15_T2.0_SL20_TP40_RSI20-65,0.01,-0.5820833242659484,-0.671307735726378,-0.9632451296950112,-0.0546695000000032,0.0567555426076361,0.5464116511668714,28495,0.8820462477008247,0.2625645472061642,-0.3585938104448745,-0.0191856466046683,-518.200000000026,-546.695000000026,28.49500000000001,MeanReverterV2,"{'V': 2, 'L': 15, 'T': 2.0, 'SL': 20, 'TP': 40, 'RSI': '20-65'}"
MeanReverterV2_T2.0_SL20_TP40_RSI25-70,MeanReverterV2_L30_T2.0_SL20_TP40_RSI25-70,0.01,-0.2237000733759406,-2.392514937483803,-0.1221372994284203,-0.0008304,0.0067989058533807,0.3317757009345794,214,0.9701620176570138,3.8028028169014094,-1.9461748251748263,-0.0388037383177575,-8.090000000000146,-8.304000000000146,0.214,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 20, 'TP': 40, 'RSI': '25-70'}"
MeanReverterV2_T2.0_SL20_TP40_RSI30-75,MeanReverterV2_L30_T2.0_SL20_TP40_RSI30-75,0.01,0.3604977418225762,2.802531596392748,0.3911483723525722,0.0013197,0.0033739115212537,0.3661971830985915,213,1.0509940300237637,3.487076923076924,-1.917000000000001,0.0619577464788727,13.409999999999911,13.19699999999991,0.213,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 20, 'TP': 40, 'RSI': '30-75'}"
MeanReverterV2_T2.0_SL20_TP40_RSI35-80,MeanReverterV2_L30_T2.0_SL20_TP40_RSI35-80,0.01,0.8451779920590541,10.473199109832088,2.7195224486616745,0.0129050999999997,0.0047453552024733,0.3580683156654888,849,1.1203020345382089,3.9532105263157895,-1.9683027522935777,0.1520035335689045,129.9,129.05100000000002,0.8490000000000003,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 20, 'TP': 40, 'RSI': '35-80'}"
MeanReverterV2_T2.0_SL20_TP50,MeanReverterV2_L20_T2.0_SL20_TP50,0.01,0.0138923973865022,0.0210381104924736,0.1002451178564414,0.0005437999999974,0.0054247030840566,0.5243161094224924,5922,1.0025550945192214,0.6871932367149726,-0.7555189918352908,0.0009182708544369,11.359999999975386,5.437999999975385,5.9220000000000015,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 20, 'TP': 50}"
MeanReverterV2_T2.0_SL20_TP50_RSI20-65,MeanReverterV2_L15_T2.0_SL20_TP50_RSI20-65,0.01,-0.5779165842031763,-0.6695260133054161,-0.962473289471634,-0.054330100000003,0.0564484236542589,0.5464507744722701,28471,0.8824167098251826,0.2620685178043436,-0.3578225818942154,-0.0190826103754706,-514.830000000026,-543.301000000026,28.47100000000001,MeanReverterV2,"{'V': 2, 'L': 15, 'T': 2.0, 'SL': 20, 'TP': 50, 'RSI': '20-65'}"
MeanReverterV2_T2.0_SL20_TP50_RSI25-70,MeanReverterV2_L30_T2.0_SL20_TP50_RSI25-70,1.0,-0.2040511445064108,-2.4505109465397705,-0.1426283436472626,-0.0810599999999995,0.5683302345603256,0.2912621359223301,206,0.9714884666521286,460.3333333333337,-194.73013698630143,-3.9349514563106425,-790.0000000000005,-810.6000000000005,20.6,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 20, 'TP': 50, 'RSI': '25-70'}"
MeanReverterV2_T2.0_SL20_TP50_RSI30-75,MeanReverterV2_L20_T2.0_SL20_TP50_RSI30-75,0.01,-0.0364159703801912,-0.0494616822784794,-0.2160061826657686,-0.0020710000000008,0.0095876885302182,0.53686165273909,10770,0.9924679350794896,0.4719591836734693,-0.5512385725741794,-0.0019229340761381,-9.940000000007466,-20.71000000000747,10.770000000000003,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 20, 'TP': 50, 'RSI': '30-75'}"
